Feature,Importance
engineSize,0.5658157383210787
year,0.2676980845017625
mpg,0.04668186360959375
mileage,0.04531420518917587
model_ Auris,0.01661198112310867
model_ Land Cruiser,0.014334459260815176
transmission_Automatic,0.010400942029374218
tax,0.007202392161465803
transmission_Manual,0.0051532588008479
model_ RAV4,0.0033317468789540636
fuelType_Hybrid,0.0032231422652102062
model_ Prius,0.0031656028571274766
model_ C-HR,0.00269167045135035
model_ Verso,0.0021969047595339517
model_ Avensis,0.0017738085936521216
fuelType_Petrol,0.001271806937488125
fuelType_Diesel,0.0006648774643392229
model_ Corolla,0.0005697945070611385
model_ Yaris,0.0004864801741128716
fuelType_Other,0.00044563317469181176
model_ Hilux,0.00031349234641105827
model_ PROACE VERSO,0.00029055916752818145
transmission_Semi-Auto,0.00017699781080755494
model_ Aygo,8.459691203667986e-05
model_ GT86,6.19079391452132e-05
model_ Camry,1.3199206447045372e-05
model_ Urban Cruiser,8.746870192961489e-06
model_ Supra,6.932178257585614e-06
model_ IQ,3.989231250390921e-06
transmission_Other,3.4107098045358527e-06
model_ Verso-S,1.7745673746379856e-06
